#NOMPARTIDA,PARTIDA,CREDITOS INICIALES,_unnamed,OBLIGACIONES RECONOCIDAS A 31 MARZO 2016
INTERESES PRÉSTAMO 2008 (BBVA),011. .31000. ,4000.0,,
INTERESES PRÉSTAMO BBK 2007,011. .31012. ,6000.0,,
INTERESES PRÉSTAMO BANCO VALENCIA ICO 2007,011. .31014. ,24900.0,,
INTERESES PRÉSTAMO CAIXA VINARÒS 2010,011. .31015. ,500.0,,
OTROS GASTOS FINANCIEROS,011. .31900. ,40000.0,,0.91
INTERESES F. SOTERRAÑES 2009,011. .31919. ,43414.99,,12776.88
INTERESES DE DEMORA F. SOTERRAÑES 2009,011. .35200.14,91403.52,,30467.84
INTERESES DE DEMORA ,011. .35200.16,,,298.75
AMORTIZACION SUBVENCION CENTRO CONOCIMIENTO,011. .91101. ,228640.0,,
AMORTIZACION SUBVENCION SOTERRAÑYES 2008,011. .91102. ,228493.98,,
AMORTIZACION PRESTAMO SOTERRAÑES 2009,011. .91103.14,390962.98,,
AMORTIZACIÓN F. SOTERRAÑES 2009,011. .91104. ,418074.0,,139358.0
AMORTIZACIONES PRESTAMO BBVA (2008),011. .91200. ,202829.52,,
AMORTIZACIONES PRÉSTAMO BBK 2007,011. .91213. ,454671.84,,
AMORTIZACION PRÉSTAMO BANCO VALENCIA ICO 2007,011. .91214. ,591250.0,,
AMORTIZACIÓN PRESTAMO CAIXA VINARÒS 2010,011. .91215. ,14000.0,,
RETRIBUCIONES BASICAS FUNCIONARIOS A1,130. .12000. ,18924.71,,1067.41
RETRIBUCIONES BASICAS FUNCIONARIOS A2,130. .12001. ,65581.83,,8611.74
RETRIBUCIONES BASICAS FUNCIONARIOS C1,130. .12003. ,752646.18,,114467.03
RETRIBUCIONES BASICAS FUNCIONARIOS C2,130. .12004. ,20872.19,,3631.5
TRIENIOS FUNCIONARIOS,130. .12006. ,82516.08,,18032.77
COMPLEMENTO DE DESTINO FUNCIONARIOS,130. .12100. ,341170.08,,65180.88
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,130. .12101. ,636232.69,,122084.35
RETRIBUCIONES BASICAS,130. .13000. ,22323.91,,3768.3
RETRIBUCIONES COMPLEMENTARIAS LABORALES,130. .13002. ,25539.76,,6384.96
GRATIFICACION POR PROLONGACION DE JORNADA,130. .15100. ,150000.0,,34535.52
SEGURIDAD SOCIAL,130. .16000. ,541646.71,,124469.83
FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,130. .16200. ,2500.0,,120.0
MATERIAL TÉCNICO,130. .22003. ,10000.0,,1833.27
GASTOS DIVERSOS,130. .22699. ,12000.0,,1730.02
CURSOS DE FORMACION A POLICIAS,130. .22701. ,4000.0,,
ALQUILER ALMACÉN DEPÓSITO DE VEHÍCULOS,132. .20200. ,33000.0,,8124.9
MANTENIMIENTO MAQU INSTALAC Y UTILLAJE,132. .21300. ,7000.0,,4.5
REPARACIÓN VEHÍCULOS,132. .21400. ,25000.0,,3531.91
VESTUARIO,132. .22104. ,30000.0,,12392.02
RETIRADA VEHICULOS,132. .22704. ,2000.0,,1064.8
VEHÍCULO POLICIAL,132. .62400.16,18000.0,,
MOBILIARIO POLICIA LOCAL,132. .62500. ,,,
"ARMAMENTO,MAQUINARIA.INSTALACIONES Y UTILLAJE",132. .63300. ,10000.0,,
SERVICIO DE CONTROL E IDENTIFICACION AUT. DE VEHÍC,133. .22701. ,140000.0,,
VIGILANCIA Y CONTROL (FERIA AGRÍCOLA),133. .22701.01,2000.0,,
VESTUARIO,135. .22104. ,2000.0,,
GASTOS DIVERSOS,135. .22699. ,4000.0,,690.0
CONVENIO BOMBEROS,136. .46701. ,168441.72,,
RETRIBUCIONES BASICAS FUNCIONARIOS A1,150. .12000. ,38042.34,,7062.81
RETRIBUCIONES BASICAS FUNCIONARIOS A2,150. .12001. ,80181.33,,14528.55
RETRIBUCIONES BÁSICAS FUNCIONARIOS B,150. .12002. ,14352.32,,2539.98
RETRIBUCIONES BASICAS FUNCIONARIOS C1,150. .12003. ,24964.87,,4363.38
RETRIBUCIONES BASICAS FUNCIONARIOS C2,150. .12004. ,62724.04,,10047.75
TRIENIOS FUNCIONARIOS,150. .12006. ,31401.6,,7995.64
COMPLEMENTO DE DESTINO FUNCIONARIOS,150. .12100. ,89984.28,,23542.97
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,150. .12101. ,129335.45,,33905.81
GRATIFICACIONES POR PROLONGACION JORNADA,150. .15100. ,5000.0,,1108.65
SEGURIDAD SOCIAL,150. .16000. ,121852.47,,35995.3
,,Campo181:,,TOTPARTO:
MANTENIMIENTO EDIFICIOS MUNICIPALES,150. .21200. ,137658.0,,18228.7
MANTENIMIENTO ASCENSORES (EXP 6575),150. .21300. ,12342.0,,3239.65
MATERAL TÉCNICO,150. .22000. ,2000.0,,
ESTUDIOS Y TRABAJOS POR EMPRESAS,150. .22706. ,41000.0,,
"INVERSIONES EN MAQUINARIA, INST. Y UTILLAJES",150. .62300. ,,,99.0
"INVERSIONES EN MAQUINARIA, INSTALACIONES Y UTILLAJ",150. .62301. ,,,
MOBILIARIO,150. .62500. ,2500.0,,
"ELABORACIÓN PROGRAMA ""DUSI""",151. .22706.15,17545.0,,
EXPROPIACIÓN REC 991/09,151. .60004.14,920558.6,,911701.52
EXPROPIACIÓN REC 135/05,151. .60005.16,1156036.74,,1156036.74
EXPROPIACIÓN RJEF EXP 2/2012,151. .60006.16,300000.0,,300000.0
RENOVACIÓN PAVIMENTOS ASFALTICOS,1532. .61901. ,65000.0,,
SEÑALIZACIONES VIARIAS,1532. .62301.16,25000.0,,8192.8
RETRIBUCIONES BASICAS FUNCIONARIOS C2,1533. .12004. ,10766.71,,1815.75
TRIENIOS FUNCIONARIOS,1533. .12006. ,2169.6,,542.4
COMPLEMENTO DE DESTINO FUNCIONARIOS,1533. .12100. ,4512.72,,1128.18
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,1533. .12101. ,7163.58,,1790.91
RETRIBUCIONES BASICAS LABORALES,1533. .13000. ,301022.63,,49902.8
RETRIBUCIONES COMPLEMENTARIAS LABORALES,1533. .13002. ,290318.0,,61960.11
GRATIFICACIONES POR  PROLONGACION  DE JORNADA,1533. .15100. ,40000.0,,14531.6
SEGURIDAD SOCIAL,1533. .16000. ,167924.03,,52080.4
ALQUILER WCs,1533. .20301. ,20000.0,,
SERVICIOS AUXILIARES MANTENIMIENTO VIALES (EXP 109,1533. .21000.01,181500.0,,
MANTENIMIENTO Y REPARACIONES EN INFRAESTRUCTURAS,1533. .21000.02,410000.0,,17542.18
MANTENIMINENTOS ACTOS VANDÁLICOS,1533. .21000.04,15000.0,,
MAQUINARIA. INSTALACIONES Y UTILLAJES,1533. .21300. ,26000.0,,107.09
REPARACIÓN Y MANTENMIENTO VEHÍCULOS BRIGADA,1533. .21400. ,16000.0,,
MATERIAL TECNICO,1533. .22003. ,4500.0,,349.0
